date,Buy_Volume,Sell_Volume,Volume,Price
2026-05-04 12:00:00,3.8,2.5,3.8,61.94
2026-05-04 12:15:00,3.8,2.0,3.8,30.17
2026-05-04 12:30:00,3.8,9.0,9.0,2.72
2026-05-04 12:45:00,3.8,8.2,8.2,11.15
2026-05-04 13:00:00,3.8,2.3,3.8,40.84
2026-05-04 13:15:00,3.8,3.3,3.8,37.82
2026-05-04 13:30:00,3.8,4.5,4.5,37.2
2026-05-04 13:45:00,3.8,2.0,3.8,34.91
2026-05-04 14:00:00,3.8,3.0,3.8,28.91
2026-05-04 14:15:00,3.8,3.3,3.8,38.36
2026-05-04 14:30:00,3.8,2.7,3.8,42.24
2026-05-04 14:45:00,3.8,2.2,3.8,67.93
2026-05-04 15:00:00,3.8,2.0,3.8,68.68
2026-05-04 15:15:00,4.4,2.0,4.4,76.26
2026-05-04 15:30:00,5.5,2.0,5.5,90.19
2026-05-04 15:45:00,8.7,2.0,8.7,100.36
2026-05-04 16:00:00,3.8,2.5,3.8,71.49
2026-05-04 16:15:00,0.2,2.0,2.0,85.3
2026-05-04 16:30:00,0.1,2.0,2.0,97.75
2026-05-04 16:45:00,0.4,2.0,2.0,115.0
2026-05-04 17:00:00,2.6,2.0,2.6,94.12
2026-05-04 17:15:00,3.8,2.0,3.8,114.85
2026-05-04 17:30:00,0.0,2.0,2.0,129.97
2026-05-04 17:45:00,0.0,2.0,2.0,147.24
2026-05-04 18:00:00,3.8,2.0,3.8,121.93
2026-05-04 18:15:00,0.4,5.8,5.8,128.8
2026-05-04 18:30:00,0.0,5.8,5.8,151.99
2026-05-04 18:45:00,0.0,5.8,5.8,177.27
2026-05-04 19:00:00,0.6,3.8,3.8,137.82
2026-05-04 19:15:00,3.8,0.0,3.8,177.93
2026-05-04 19:30:00,0.0,3.8,3.8,213.92
2026-05-04 19:45:00,0.0,3.8,3.8,262.97
2026-05-04 20:00:00,4.2,0.0,4.2,228.24
2026-05-04 20:15:00,4.6,0.0,4.6,234.64
2026-05-04 20:30:00,1.2,3.4,3.4,229.76
2026-05-04 20:45:00,3.8,0.0,3.8,211.36
2026-05-04 21:00:00,0.9,5.8,5.8,214.57
2026-05-04 21:15:00,0.0,6.4,6.4,185.9
2026-05-04 21:30:00,0.0,5.8,5.8,153.23
2026-05-04 21:45:00,0.0,5.8,5.8,138.58
2026-05-04 22:00:00,0.0,5.8,5.8,159.13
2026-05-04 22:15:00,0.0,5.8,5.8,142.45
2026-05-04 22:30:00,1.6,5.8,5.8,131.5
2026-05-04 22:45:00,0.8,5.8,5.8,126.92
2026-05-04 23:00:00,0.1,5.8,5.8,142.16
2026-05-04 23:15:00,3.8,2.0,3.8,136.88
2026-05-04 23:30:00,0.4,5.8,5.8,123.23
2026-05-04 23:45:00,0.3,5.8,5.8,117.73
