date,Buy_Volume,Sell_Volume,Volume,Price
2024-10-20 00:00:00,3354.5,260.3,3354.5,47.33
2024-10-20 01:00:00,3237.4,348.3,3237.4,43.11
2024-10-20 02:00:00,3078.5,400.1,3078.5,42.9
2024-10-20 03:00:00,2994.7,437.0,2994.7,38.64
2024-10-20 04:00:00,2921.4,528.5,2921.4,39.61
2024-10-20 05:00:00,2358.1,742.2,2358.1,41.52
2024-10-20 06:00:00,2012.1,1312.3,2012.1,38.65
2024-10-20 07:00:00,1921.5,1157.2,1921.5,44.72
2024-10-20 08:00:00,1836.7,1246.9,1836.7,42.93
2024-10-20 09:00:00,1555.6,1089.4,1555.6,30.77
2024-10-20 10:00:00,1422.7,940.8,1422.7,6.37
2024-10-20 11:00:00,1451.9,1393.8,1451.9,0.08
2024-10-20 12:00:00,1212.0,1888.7,1888.7,0.0
2024-10-20 13:00:00,1150.1,2442.8,2442.8,-0.98
2024-10-20 14:00:00,1166.3,2445.3,2445.3,-2.01
2024-10-20 15:00:00,1198.8,1917.8,1917.8,0.0
2024-10-20 16:00:00,1630.5,1629.7,1630.5,2.75
2024-10-20 17:00:00,2025.3,1346.4,2025.3,35.25
2024-10-20 18:00:00,2393.5,983.0,2393.5,41.26
2024-10-20 19:00:00,2505.4,932.1,2505.4,46.49
2024-10-20 20:00:00,2196.8,958.9,2196.8,35.53
2024-10-20 21:00:00,2192.1,1074.5,2192.1,22.5
2024-10-20 22:00:00,1894.2,1154.7,1894.2,13.15
2024-10-20 23:00:00,1516.1,1576.6,1576.6,2.09
2024-10-21 00:00:00,1159.8,2096.6,2096.6,0.35
2024-10-21 01:00:00,1116.0,2098.1,2098.1,-0.03
2024-10-21 02:00:00,1113.1,1948.4,1948.4,-0.08
2024-10-21 03:00:00,1132.9,1958.1,1958.1,-0.04
2024-10-21 04:00:00,1244.5,1798.7,1798.7,0.09
2024-10-21 05:00:00,1745.9,1744.3,1745.9,5.91
2024-10-21 06:00:00,2426.0,1269.3,2426.0,44.88
2024-10-21 07:00:00,3315.5,1195.9,3315.5,96.17
2024-10-21 08:00:00,4158.5,934.8,4158.5,120.31
2024-10-21 09:00:00,4958.2,544.2,4958.2,103.9
2024-10-21 10:00:00,5823.6,274.4,5823.6,89.63
2024-10-21 11:00:00,6029.7,267.3,6029.7,82.57
2024-10-21 12:00:00,5705.1,342.3,5705.1,75.82
2024-10-21 13:00:00,5659.7,347.2,5659.7,81.6
2024-10-21 14:00:00,5496.7,416.1,5496.7,81.44
2024-10-21 15:00:00,5609.3,544.6,5609.3,83.09
2024-10-21 16:00:00,5485.4,779.9,5485.4,91.49
2024-10-21 17:00:00,5744.6,954.6,5744.6,106.19
2024-10-21 18:00:00,6261.1,1028.9,6261.1,148.8
2024-10-21 19:00:00,6287.1,1539.7,6287.1,170.8
2024-10-21 20:00:00,6022.2,671.7,6022.2,119.49
2024-10-21 21:00:00,5265.3,444.9,5265.3,91.78
2024-10-21 22:00:00,4463.7,388.4,4463.7,97.73
2024-10-21 23:00:00,4113.5,290.5,4113.5,92.97
2024-10-22 00:00:00,3774.9,298.3,3774.9,82.44
2024-10-22 01:00:00,3294.5,215.2,3294.5,78.72
2024-10-22 02:00:00,3282.5,229.7,3282.5,76.2
2024-10-22 03:00:00,3287.4,305.8,3287.4,79.0
2024-10-22 04:00:00,3384.6,216.5,3384.6,76.7
2024-10-22 05:00:00,3928.1,245.4,3928.1,77.99
2024-10-22 06:00:00,4713.7,441.2,4713.7,85.69
2024-10-22 07:00:00,4647.9,930.4,4647.9,123.6
