date,low,high,last,weighted_avg,id_full,id1,id3,buy_volume,sell_volume,total_volume
2024-10-11 00:00:00,8.75,94.74,8.75,80.72,80.72,8.76,80.24,199.1,145.6,172.4
2024-10-11 01:00:00,64.57,104.29,72.61,84.39,84.39,84.62,84.62,79.1,102.1,90.6
2024-10-11 02:00:00,67.5,891.1,67.5,77.48,77.48,77.37,77.37,166.6,305.5,236.1
2024-10-11 03:00:00,0.0,175.0,100.0,81.0,81.0,82.98,82.98,203.4,184.4,193.9
2024-10-11 04:00:00,62.73,100.0,100.0,69.07,69.07,66.9,66.9,189.2,229.3,209.3
2024-10-11 05:00:00,67.5,98.39,67.5,81.17,81.17,77.26,77.26,274.1,339.2,306.7
2024-10-11 06:00:00,-99.98,105.5,-99.98,92.63,92.63,-9.99,89.64,511.5,963.9,737.7
2024-10-11 07:00:00,140.0,258.2,150.0,170.03,170.03,193.18,193.18,1636.1,1459.9,1548.0
2024-10-11 08:00:00,99.0,199.95,150.0,170.89,170.89,124.5,163.04,1263.9,1812.2,1538.1
2024-10-11 09:00:00,42.01,131.65,42.01,114.14,114.14,110.42,110.42,1109.4,1606.4,1357.9
2024-10-11 10:00:00,81.6,114.58,88.76,96.7,96.7,97.61,97.61,436.2,888.1,662.2
2024-10-11 11:00:00,0.01,96.93,0.01,84.9,84.9,84.98,84.98,479.5,593.3,536.4
2024-10-11 12:00:00,54.4,2000.0,69.0,98.39,98.39,69.0,115.47,383.9,440.8,412.4
2024-10-11 13:00:00,60.02,200.0,200.0,82.57,82.57,167.05,90.44,370.3,337.4,353.9
2024-10-11 14:00:00,59.68,198.96,170.18,97.12,97.12,160.55,115.65,373.5,346.6,360.1
2024-10-11 15:00:00,63.0,248.97,174.54,97.28,97.28,125.1,104.54,548.0,548.8,548.4
2024-10-11 16:00:00,71.75,96.5,75.08,77.66,77.66,78.75,78.75,594.7,568.9,581.8
2024-10-11 17:00:00,8.04,112.08,8.04,71.92,71.92,18.54,67.59,189.0,229.3,209.2
2024-10-11 18:00:00,124.0,158.15,151.3,142.77,142.77,141.83,141.83,244.5,209.6,227.1
2024-10-11 19:00:00,118.4,185.0,148.76,152.89,152.89,146.21,146.21,489.1,544.0,516.6
2024-10-11 20:00:00,101.08,123.0,101.08,112.31,112.31,107.6,107.6,285.2,373.8,329.5
2024-10-11 21:00:00,87.8,125.01,115.0,97.45,97.45,101.02,101.02,330.4,179.3,254.9
2024-10-11 22:00:00,81.71,99.14,81.71,88.94,88.94,87.76,87.76,232.7,100.3,166.5
2024-10-11 23:00:00,71.3,87.24,71.3,77.82,77.82,76.11,76.11,208.9,141.9,175.4
2024-10-12 00:00:00,69.48,100.97,77.7,79.01,79.01,79.32,79.32,118.2,174.4,146.3
2024-10-12 01:00:00,-24.96,76.47,68.0,64.18,64.18,63.93,63.93,190.8,206.9,198.9
2024-10-12 02:00:00,23.0,73.31,40.47,58.28,58.28,49.83,49.83,179.9,266.0,223.0
2024-10-12 03:00:00,16.02,79.0,79.0,54.31,54.31,78.98,41.44,243.4,390.5,317.0
2024-10-12 04:00:00,16.54,76.61,71.85,57.36,57.36,61.98,61.98,287.6,251.1,269.4
2024-10-12 05:00:00,38.58,72.9,72.9,60.71,60.71,66.04,66.04,400.5,370.9,385.7
2024-10-12 06:00:00,23.45,66.65,23.46,42.15,42.15,31.86,31.86,282.9,277.8,280.4
2024-10-12 07:00:00,-18.89,67.69,18.17,44.67,44.67,32.8,32.8,177.6,145.1,161.4
2024-10-12 08:00:00,19.04,99.89,99.89,52.99,52.99,41.26,41.26,249.3,318.8,284.1
2024-10-12 09:00:00,49.2,77.05,50.0,56.47,56.47,54.5,54.5,142.1,465.0,303.6
2024-10-12 10:00:00,0.0,99.99,99.99,40.33,40.33,40.01,40.01,594.2,789.5,691.9
2024-10-12 11:00:00,30.87,99.99,99.99,37.26,37.26,67.51,35.53,728.4,980.4,854.4
2024-10-12 12:00:00,0.0,81.52,19.99,43.67,43.67,18.11,41.15,470.4,530.5,500.5
2024-10-12 13:00:00,14.34,85.99,14.45,53.93,53.93,52.55,52.55,414.8,486.6,450.7
2024-10-12 14:00:00,16.36,99.99,99.99,36.77,36.77,73.51,29.02,905.0,1039.2,972.1
2024-10-12 15:00:00,33.54,219.98,140.0,69.26,69.26,166.89,74.23,736.2,827.8,782.0
2024-10-12 16:00:00,-48.97,138.97,-48.97,84.77,84.77,76.28,89.75,1231.2,963.6,1097.4
2024-10-12 17:00:00,73.59,102.04,98.97,86.0,86.0,98.97,85.63,1063.8,611.7,837.8
2024-10-12 18:00:00,67.48,106.68,73.17,75.12,75.12,73.88,73.88,727.5,405.5,566.5
2024-10-12 19:00:00,25.0,103.61,25.0,78.5,78.5,25.0,75.66,247.6,287.8,267.7
2024-10-12 20:00:00,54.34,107.91,84.88,77.81,77.81,83.72,83.72,229.7,272.6,251.2
2024-10-12 21:00:00,33.71,46.39,45.62,38.37,38.37,38.35,38.35,513.5,411.5,462.5
2024-10-12 22:00:00,20.93,36.9,21.0,28.2,28.2,26.9,26.9,344.4,366.5,355.5
2024-10-12 23:00:00,2.39,25.99,16.61,11.48,11.48,9.08,9.08,348.2,629.8,489.0
2024-10-13 00:00:00,-0.71,7.52,1.31,1.96,1.96,1.74,1.74,409.3,263.7,336.5
2024-10-13 01:00:00,2.6,39.72,8.02,7.74,7.74,7.88,7.88,286.0,244.5,265.3
2024-10-13 02:00:00,1.7,28.81,8.02,7.22,7.22,9.24,9.24,266.2,209.2,237.7
2024-10-13 03:00:00,0.21,13.97,8.62,7.1,7.1,8.51,8.51,456.4,202.2,329.3
2024-10-13 04:00:00,-5.0,12.49,1.0,6.04,6.04,7.57,7.57,245.4,156.6,201.0
2024-10-13 05:00:00,-0.1,12.54,4.8,8.6,8.6,9.25,9.25,666.4,243.1,454.8
2024-10-13 06:00:00,-15.02,15.5,10.85,6.53,6.44,9.95,6.55,48.4,46.4,47.4
2024-10-13 07:00:00,2.32,34.5,17.18,13.93,12.32,11.95,11.95,49.9,106.6,78.3
2024-10-13 08:00:00,5.8,27.67,25.3,19.71,22.63,23.26,23.26,147.1,14.6,80.9
2024-10-13 09:00:00,5.25,33.8,30.0,26.01,30.12,119.98,33.29,65.2,39.9,52.6
