date,low,high,last,weighted_avg,id_full,id1,id3,buy_volume,sell_volume,total_volume
2024-11-04 00:00:00,86.04,135.99,90.7,96.48,96.48,106.41,97.59,4836.9,4313.6,4575.3
2024-11-04 01:00:00,87.37,149.01,147.22,93.16,93.16,91.01,93.42,4203.4,3861.7,4032.6
2024-11-04 02:00:00,90.0,199.73,110.0,94.97,94.97,99.38,95.38,4335.6,4107.3,4221.5
2024-11-04 03:00:00,86.71,130.78,101.6,99.17,99.17,107.43,99.6,4598.1,4449.4,4523.8
2024-11-04 04:00:00,63.52,337.77,95.8,96.74,96.74,92.07,98.64,4074.4,3748.7,3911.6
2024-11-04 05:00:00,49.35,116.31,103.52,98.22,98.22,95.26,96.38,4151.9,3659.9,3905.9
2024-11-04 06:00:00,99.03,219.47,126.83,123.23,123.23,108.04,118.37,4518.8,4399.1,4459.0
2024-11-04 07:00:00,-49.67,199.99,149.71,143.32,143.32,137.68,139.38,5313.5,5498.1,5405.8
2024-11-04 08:00:00,116.26,298.81,135.0,145.98,145.98,162.55,146.56,6708.3,6298.9,6503.6
2024-11-04 09:00:00,-49.76,154.35,125.99,129.47,129.47,134.78,131.76,7296.7,7872.7,7584.7
2024-11-04 10:00:00,50.0,402.68,50.0,119.48,119.48,130.21,120.32,9597.6,9848.9,9723.3
2024-11-04 11:00:00,50.0,298.76,50.0,112.85,112.85,127.12,116.48,11781.4,11097.7,11439.6
2024-11-04 12:00:00,96.31,120.0,115.0,106.25,106.25,105.6,108.21,12204.4,11543.2,11873.8
2024-11-04 13:00:00,-49.78,120.57,115.0,107.84,107.84,110.52,109.81,11770.1,11368.9,11569.5
2024-11-04 14:00:00,104.2,187.45,160.0,115.53,115.53,115.16,115.63,8615.4,9100.9,8858.2
2024-11-04 15:00:00,114.0,171.44,138.58,140.07,140.07,133.51,139.33,8241.9,8055.6,8148.8
2024-11-04 16:00:00,156.99,378.84,320.0,195.44,195.44,215.54,184.37,8259.4,7777.0,8018.2
2024-11-04 17:00:00,170.01,365.98,170.01,285.93,285.93,278.16,285.28,10269.1,10070.5,10169.8
2024-11-04 18:00:00,140.0,310.0,155.0,227.16,227.16,169.69,211.15,9416.5,9618.2,9517.4
2024-11-04 19:00:00,-49.77,191.05,135.0,151.7,151.7,135.47,142.99,7933.0,7430.0,7681.5
2024-11-04 20:00:00,12.57,144.73,135.0,126.18,126.18,121.55,122.54,6226.4,7498.8,6862.6
2024-11-04 21:00:00,96.0,134.28,123.0,113.19,113.19,113.23,112.2,5911.1,6327.4,6119.3
2024-11-04 22:00:00,13.24,228.74,150.0,107.24,107.24,106.39,105.32,6176.6,5972.3,6074.5
2024-11-04 23:00:00,71.37,344.81,104.91,99.36,99.36,100.5,100.28,6529.9,6082.0,6306.0
2024-11-05 00:00:00,79.07,118.74,99.1,96.25,96.25,91.66,95.04,3890.8,3535.1,3713.0
2024-11-05 01:00:00,78.68,250.9,87.79,92.67,92.67,91.66,92.76,4004.8,4051.7,4028.3
2024-11-05 02:00:00,79.19,99.88,92.0,92.01,92.01,92.21,91.64,3712.8,4049.6,3881.2
2024-11-05 03:00:00,20.71,97.0,79.9,91.77,91.77,88.78,91.58,4289.6,4058.2,4173.9
2024-11-05 04:00:00,-160.78,99.76,86.0,92.49,92.49,87.86,90.38,4237.9,4090.7,4164.3
2024-11-05 05:00:00,76.73,446.08,97.0,101.68,101.68,95.71,97.79,4058.5,4440.6,4249.6
2024-11-05 06:00:00,102.57,258.97,148.89,117.57,117.57,113.26,111.38,4765.1,4525.4,4645.3
2024-11-05 07:00:00,83.35,288.47,155.0,145.18,145.18,144.68,139.27,6517.1,6514.1,6515.6
2024-11-05 08:00:00,11.31,155.9,105.0,138.43,138.43,138.59,141.29,7268.9,7548.1,7408.5
2024-11-05 09:00:00,93.26,160.96,160.18,127.18,127.18,123.21,128.46,9045.7,8952.6,8999.2
2024-11-05 10:00:00,104.66,147.27,118.19,125.96,125.96,134.68,130.2,10588.0,10558.5,10573.3
2024-11-05 11:00:00,71.12,150.0,150.0,117.62,117.62,119.92,120.17,13807.4,13138.2,13472.8
2024-11-05 12:00:00,97.26,130.0,127.6,111.95,111.95,111.61,113.57,13292.2,12936.6,13114.4
2024-11-05 13:00:00,-1955.0,878.36,150.0,117.9,117.9,113.99,113.99,12326.5,12247.5,12287.0
2024-11-05 14:00:00,111.46,174.97,120.0,130.4,130.4,143.77,137.96,10197.0,9920.4,10058.7
2024-11-05 15:00:00,-19.99,214.65,89.0,168.33,168.33,165.39,177.49,10051.2,9664.3,9857.8
2024-11-05 16:00:00,200.0,419.82,250.0,296.95,296.95,286.38,296.78,7337.3,8516.7,7927.0
2024-11-05 17:00:00,196.6,609.98,311.85,421.14,421.14,383.49,402.96,7912.0,9968.8,8940.4
2024-11-05 18:00:00,222.03,520.58,343.65,394.16,394.16,340.03,372.12,7363.6,9818.1,8590.9
2024-11-05 19:00:00,0.56,392.32,238.58,265.93,265.93,261.27,244.02,5126.1,7197.9,6162.0
2024-11-05 20:00:00,141.33,199.32,162.14,157.24,157.24,153.29,155.75,4523.4,5528.6,5026.0
2024-11-05 21:00:00,118.01,147.9,143.24,129.77,129.77,125.12,130.31,4904.1,6037.4,5470.8
2024-11-05 22:00:00,10.32,363.09,128.26,116.19,116.19,118.56,117.64,4165.9,3986.4,4076.2
2024-11-05 23:00:00,95.09,348.57,119.0,106.77,106.77,103.63,106.91,3735.6,3505.5,3620.6
2024-11-06 00:00:00,94.34,191.93,102.74,106.8,106.8,104.53,106.21,2460.8,2273.8,2367.3
2024-11-06 01:00:00,90.0,109.56,90.0,101.59,101.59,102.46,101.72,3192.1,3095.9,3144.0
2024-11-06 02:00:00,70.06,103.29,97.85,99.29,99.29,96.7,99.5,2876.4,2650.5,2763.5
2024-11-06 03:00:00,96.0,159.47,107.0,100.42,100.42,97.52,100.07,2723.4,2488.8,2606.1
2024-11-06 04:00:00,69.36,135.46,126.67,105.1,105.1,105.04,105.89,2779.1,2548.1,2663.6
2024-11-06 05:00:00,-124.44,136.38,130.0,118.25,118.25,117.79,121.71,3092.8,3398.9,3245.9
2024-11-06 06:00:00,131.91,399.69,156.24,180.03,180.03,180.55,188.01,3426.8,3278.4,3352.6
2024-11-06 07:00:00,160.58,310.0,215.0,269.82,269.82,249.43,274.17,5681.5,6323.4,6002.5
2024-11-06 08:00:00,36.3,270.35,210.0,231.35,231.35,215.12,227.15,6796.7,6622.6,6709.7
2024-11-06 09:00:00,-310.98,268.6,186.0,175.53,175.53,196.61,174.89,7859.4,8395.1,8127.3
2024-11-06 10:00:00,142.63,375.75,222.0,191.25,191.25,275.99,204.03,10830.7,10128.5,10479.6
2024-11-06 11:00:00,133.58,449.77,230.0,183.91,183.91,223.56,197.88,13695.2,12485.7,13090.5
2024-11-06 12:00:00,50.31,399.99,325.04,204.42,204.42,276.68,224.88,14814.8,13469.5,14142.2
2024-11-06 13:00:00,132.82,350.0,281.01,221.23,221.23,315.29,261.86,13944.2,13033.6,13488.9
2024-11-06 14:00:00,150.49,559.99,304.55,232.91,232.91,288.65,276.07,13110.0,11462.8,12286.4
2024-11-06 15:00:00,242.09,499.64,342.2,302.35,302.35,342.4,318.02,9603.9,9680.9,9642.4
2024-11-06 16:00:00,280.01,514.25,310.0,436.4,436.4,413.0,441.38,6807.7,7355.7,7081.7
2024-11-06 17:00:00,313.91,823.1,451.86,685.43,685.43,569.27,662.91,6990.6,7314.3,7152.5
2024-11-06 18:00:00,180.02,805.1,418.67,561.52,561.52,437.75,497.84,7221.7,7727.7,7474.7
2024-11-06 19:00:00,110.4,465.0,170.0,300.31,300.31,216.88,267.01,5339.0,6090.5,5714.8
2024-11-06 20:00:00,13.2,284.67,185.0,174.98,174.98,170.84,165.21,4884.2,5413.5,5148.9
2024-11-06 21:00:00,94.79,153.17,138.91,134.5,134.5,130.11,133.19,5760.5,5372.8,5566.7
2024-11-06 22:00:00,-15.94,130.0,129.36,120.99,120.99,116.36,119.74,4145.6,3840.0,3992.8
2024-11-06 23:00:00,-134.83,251.39,123.61,114.22,114.22,112.79,111.35,3000.1,3201.7,3100.9
2024-11-07 00:00:00,73.61,374.41,101.49,110.63,110.63,111.13,110.12,2434.7,2428.7,2431.7
2024-11-07 01:00:00,89.46,112.3,99.0,105.8,105.8,105.37,105.94,2377.6,2757.6,2567.6
2024-11-07 02:00:00,-145.98,107.0,99.24,101.28,101.28,98.16,100.65,2499.5,2576.0,2537.8
