date,Buy_Volume,Sell_Volume,Volume,Price
2025-12-30 00:00:00,7.8,6.3,7.8,44.5
2025-12-30 00:15:00,7.8,7.7,8.0,34.8
2025-12-30 00:30:00,15.4,5.4,15.4,46.0
2025-12-30 00:45:00,8.3,7.2,8.3,29.75
2025-12-30 01:00:00,12.2,8.8,12.2,45.0
2025-12-30 01:15:00,9.7,8.8,11.0,39.0
2025-12-30 01:30:00,10.3,13.9,15.4,34.84
2025-12-30 01:45:00,10.3,12.2,13.7,34.04
2025-12-30 02:00:00,7.8,9.4,10.9,34.96
2025-12-30 02:15:00,7.8,12.7,13.4,30.0
2025-12-30 02:30:00,10.9,8.8,10.9,34.04
2025-12-30 02:45:00,8.4,8.8,10.3,33.32
2025-12-30 03:00:00,10.9,8.8,10.9,31.4
2025-12-30 03:15:00,10.9,8.8,10.9,30.99
2025-12-30 03:30:00,10.4,8.8,10.4,30.55
2025-12-30 03:45:00,10.7,8.8,10.7,30.49
2025-12-30 04:00:00,9.8,9.4,10.9,28.21
2025-12-30 04:15:00,7.8,10.3,11.6,27.0
2025-12-30 04:30:00,7.8,9.8,10.9,24.0
2025-12-30 04:45:00,7.8,11.9,13.4,25.59
2025-12-30 05:00:00,7.0,14.9,14.9,3.72
2025-12-30 05:15:00,6.5,12.1,12.1,15.31
2025-12-30 05:30:00,9.8,10.1,11.6,28.87
2025-12-30 05:45:00,9.0,9.4,10.9,30.25
2025-12-30 06:00:00,5.3,5.8,6.7,24.23
2025-12-30 06:15:00,5.3,3.4,5.3,30.18
2025-12-30 06:30:00,6.5,4.7,6.5,25.79
2025-12-30 06:45:00,12.1,3.6,12.1,48.0
2025-12-30 07:00:00,5.3,16.9,16.9,28.88
2025-12-30 07:15:00,4.0,11.8,13.3,43.1
2025-12-30 07:30:00,8.1,10.9,12.7,46.9
2025-12-30 07:45:00,10.4,13.4,15.5,50.78
2025-12-30 08:00:00,5.3,18.6,18.6,49.88
2025-12-30 08:15:00,5.3,18.3,18.5,61.0
2025-12-30 08:30:00,5.8,16.3,16.5,75.48
2025-12-30 08:45:00,10.8,15.0,16.1,77.0
2025-12-30 09:00:00,18.9,16.1,18.9,72.39
2025-12-30 09:15:00,18.3,16.3,18.3,75.0
2025-12-30 09:30:00,17.6,16.2,17.6,72.0
2025-12-30 09:45:00,18.8,17.0,18.8,72.01
2025-12-30 10:00:00,10.0,26.1,28.6,69.0
2025-12-30 10:15:00,5.3,28.6,30.1,61.0
2025-12-30 10:30:00,4.0,31.1,32.6,67.0
2025-12-30 10:45:00,5.8,27.2,28.7,63.8
2025-12-30 11:00:00,4.0,32.5,34.0,58.0
2025-12-30 11:15:00,4.0,30.8,32.3,58.0
2025-12-30 11:30:00,5.3,29.5,31.0,59.28
2025-12-30 11:45:00,5.3,29.5,31.0,58.0
2025-12-30 12:00:00,1.5,10.3,11.8,61.0
2025-12-30 12:15:00,2.4,5.8,6.6,63.0
2025-12-30 12:30:00,5.3,4.9,6.4,54.35
2025-12-30 12:45:00,7.3,4.7,7.3,51.58
2025-12-30 13:00:00,1.5,8.2,9.7,55.0
2025-12-30 13:15:00,1.0,3.6,4.6,65.0
2025-12-30 13:30:00,2.2,6.1,7.0,68.0
2025-12-30 13:45:00,7.3,3.4,7.3,69.31
2025-12-30 14:00:00,23.2,9.4,23.2,62.49
2025-12-30 14:15:00,25.7,5.9,25.7,74.0
2025-12-30 14:30:00,27.0,4.9,27.0,73.6
2025-12-30 14:45:00,30.0,7.3,31.5,91.0
2025-12-30 15:00:00,14.0,9.4,14.0,73.39
2025-12-30 15:15:00,17.8,4.8,17.8,75.55
2025-12-30 15:30:00,16.0,4.8,16.0,78.7
2025-12-30 15:45:00,22.1,3.8,23.6,104.0
2025-12-30 16:00:00,8.7,5.0,8.7,95.6
2025-12-30 16:15:00,4.3,1.3,4.3,104.0
2025-12-30 16:30:00,10.4,3.8,10.4,104.1
2025-12-30 16:45:00,10.6,1.9,10.6,112.54
2025-12-30 17:00:00,8.6,1.3,8.6,105.72
2025-12-30 17:15:00,7.9,2.8,9.4,109.0
2025-12-30 17:30:00,8.4,2.5,8.4,105.72
2025-12-30 17:45:00,6.5,4.4,7.5,106.44
2025-12-30 18:00:00,7.1,9.1,11.1,113.78
2025-12-30 18:15:00,3.8,4.4,4.4,106.92
2025-12-30 18:30:00,2.8,8.9,8.9,105.01
2025-12-30 18:45:00,4.0,15.2,16.7,104.9
2025-12-30 19:00:00,7.1,9.1,9.1,106.9
2025-12-30 19:15:00,3.8,4.4,4.4,104.63
2025-12-30 19:30:00,2.5,8.1,8.1,104.6
2025-12-30 19:45:00,3.8,7.5,8.7,101.8
2025-12-30 20:00:00,7.1,5.1,7.1,104.5
2025-12-30 20:15:00,3.1,3.5,3.5,101.0
2025-12-30 20:30:00,3.1,6.1,6.1,98.0
2025-12-30 20:45:00,6.7,7.1,7.1,93.12
2025-12-30 21:00:00,11.2,6.5,14.0,103.8
2025-12-30 21:15:00,6.7,7.8,10.7,95.0
2025-12-30 21:30:00,8.6,3.8,9.9,90.5
2025-12-30 21:45:00,8.2,7.1,8.6,87.0
2025-12-30 22:00:00,6.7,6.5,9.4,97.09
2025-12-30 22:15:00,8.9,1.3,8.9,91.0
2025-12-30 22:30:00,9.2,1.6,9.2,87.8
2025-12-30 22:45:00,10.1,2.5,10.1,83.91
2025-12-30 23:00:00,7.0,1.3,7.0,87.01
2025-12-30 23:15:00,7.1,1.2,7.1,84.0
2025-12-30 23:30:00,6.7,0.8,6.7,83.99
2025-12-30 23:45:00,7.3,3.1,7.3,71.01
