date,Buy_Volume,Sell_Volume,Volume,Price
2025-09-15 00:00:00,401.3,371.4,401.3,18.27
2025-09-15 01:00:00,399.5,373.7,399.5,9.21
2025-09-15 02:00:00,407.1,410.3,410.3,5.04
2025-09-15 03:00:00,437.3,457.4,457.4,3.25
2025-09-15 04:00:00,452.6,544.3,544.3,3.2
2025-09-15 05:00:00,544.3,647.9,647.9,3.95
2025-09-15 06:00:00,589.6,792.3,792.3,15.72
2025-09-15 07:00:00,588.1,877.8,877.8,41.38
2025-09-15 08:00:00,578.2,964.9,964.9,39.16
2025-09-15 09:00:00,569.8,1060.2,1060.2,9.05
2025-09-15 10:00:00,537.6,1186.9,1186.9,8.0
2025-09-15 11:00:00,560.5,1267.5,1267.5,5.25
2025-09-15 12:00:00,565.5,1308.0,1308.0,4.59
2025-09-15 13:00:00,567.5,1305.8,1305.8,4.0
2025-09-15 14:00:00,567.1,1352.3,1352.3,3.81
2025-09-15 15:00:00,560.6,1381.6,1381.6,4.0
2025-09-15 16:00:00,568.2,1414.3,1414.3,4.43
2025-09-15 17:00:00,566.4,1373.3,1373.3,5.6
2025-09-15 18:00:00,563.7,1362.4,1362.4,9.62
2025-09-15 19:00:00,573.2,1300.3,1300.3,11.66
2025-09-15 20:00:00,569.0,1293.5,1293.5,9.23
2025-09-15 21:00:00,548.9,1249.7,1249.7,5.12
2025-09-15 22:00:00,522.9,1110.3,1110.3,2.99
2025-09-15 23:00:00,498.7,1011.3,1011.3,0.52
2025-09-16 00:00:00,445.3,1098.6,1098.6,0.24
2025-09-16 01:00:00,452.0,1070.1,1070.1,0.31
2025-09-16 02:00:00,459.4,1058.5,1058.5,0.01
2025-09-16 03:00:00,510.1,1039.5,1039.5,0.02
2025-09-16 04:00:00,533.4,1052.9,1052.9,0.32
2025-09-16 05:00:00,561.0,1068.5,1068.5,2.17
2025-09-16 06:00:00,586.3,1106.4,1106.4,4.0
2025-09-16 07:00:00,598.3,1092.6,1092.6,10.5
2025-09-16 08:00:00,590.3,1060.0,1060.0,15.79
2025-09-16 09:00:00,577.5,1066.0,1066.0,14.05
2025-09-16 10:00:00,573.6,1059.1,1059.1,13.57
2025-09-16 11:00:00,567.7,1068.5,1068.5,11.53
2025-09-16 12:00:00,541.6,984.1,984.1,10.69
2025-09-16 13:00:00,521.7,905.1,905.1,9.68
2025-09-16 14:00:00,515.4,858.7,858.7,10.01
2025-09-16 15:00:00,553.9,754.5,754.5,13.21
2025-09-16 16:00:00,579.2,736.8,736.8,17.71
2025-09-16 17:00:00,566.8,746.3,746.3,23.18
2025-09-16 18:00:00,570.6,747.3,747.3,46.08
2025-09-16 19:00:00,533.9,762.8,762.8,66.49
2025-09-16 20:00:00,530.3,736.9,736.9,48.6
2025-09-16 21:00:00,491.7,741.5,741.5,25.48
2025-09-16 22:00:00,467.4,702.4,702.4,20.22
2025-09-16 23:00:00,457.5,660.6,660.6,16.89
2025-09-17 00:00:00,473.6,596.3,596.3,17.65
2025-09-17 01:00:00,491.4,572.0,572.0,16.67
2025-09-17 02:00:00,499.4,546.0,546.0,15.01
2025-09-17 03:00:00,525.7,501.3,525.7,14.74
2025-09-17 04:00:00,568.3,470.5,568.3,16.56
2025-09-17 05:00:00,590.2,444.3,590.2,21.04
2025-09-17 06:00:00,652.1,399.7,652.1,53.1
2025-09-17 07:00:00,658.8,346.6,658.8,79.84
2025-09-17 08:00:00,651.6,292.5,651.6,80.56
2025-09-17 09:00:00,617.8,282.1,617.8,72.82
2025-09-17 10:00:00,624.0,242.3,624.0,67.96
2025-09-17 11:00:00,651.9,212.9,651.9,70.55
2025-09-17 12:00:00,693.9,187.3,693.9,59.68
2025-09-17 13:00:00,649.3,167.6,649.3,77.01
2025-09-17 14:00:00,638.1,152.0,638.1,79.42
2025-09-17 15:00:00,633.4,139.0,633.4,94.27
2025-09-17 16:00:00,624.3,132.3,624.3,84.56
2025-09-17 17:00:00,613.1,127.0,613.1,126.75
2025-09-17 18:00:00,606.7,127.8,606.7,145.7
2025-09-17 19:00:00,584.0,85.5,584.0,183.95
2025-09-17 20:00:00,582.3,98.7,582.3,122.77
2025-09-17 21:00:00,542.2,121.4,542.2,89.54
2025-09-17 22:00:00,522.4,146.3,522.4,69.02
2025-09-17 23:00:00,472.0,132.9,472.0,30.71
2025-09-18 00:00:00,430.7,275.9,430.7,13.35
2025-09-18 01:00:00,435.2,270.5,435.2,11.87
2025-09-18 02:00:00,463.0,292.8,463.0,10.17
2025-09-18 03:00:00,481.5,315.8,481.5,10.16
2025-09-18 04:00:00,507.9,329.3,507.9,11.14
2025-09-18 05:00:00,541.6,288.3,541.6,35.0
2025-09-18 06:00:00,602.5,235.0,602.5,87.53
2025-09-18 07:00:00,614.4,204.8,614.4,86.58
2025-09-18 08:00:00,615.6,211.6,615.6,91.13
2025-09-18 09:00:00,596.4,206.2,596.4,80.75
2025-09-18 10:00:00,580.2,190.3,580.2,87.47
2025-09-18 11:00:00,575.0,186.1,575.0,63.93
2025-09-18 12:00:00,573.3,167.7,573.3,39.58
2025-09-18 13:00:00,549.8,157.4,549.8,45.0
2025-09-18 14:00:00,563.7,152.6,563.7,57.19
2025-09-18 15:00:00,599.3,146.5,599.3,46.65
2025-09-18 16:00:00,612.2,138.1,612.2,93.15
2025-09-18 17:00:00,592.8,130.2,592.8,146.41
2025-09-18 18:00:00,643.9,124.8,643.9,150.01
