date,Buy_Volume,Sell_Volume,Volume,Price
2026-04-26 00:00:00,200.3,247.0,247.0,4.72
2026-04-26 00:15:00,196.0,244.7,244.7,4.55
2026-04-26 00:30:00,194.6,242.9,242.9,4.41
2026-04-26 00:45:00,190.4,238.1,238.1,4.29
2026-04-26 01:00:00,781.3,972.7,972.7,4.49
2026-04-26 01:15:00,196.9,239.5,239.5,4.57
2026-04-26 01:30:00,194.8,235.3,235.3,4.29
2026-04-26 01:45:00,193.0,235.1,235.1,4.06
2026-04-26 02:00:00,191.3,232.1,232.1,3.76
2026-04-26 02:15:00,775.9,941.9,941.9,4.17
2026-04-26 02:30:00,196.5,232.6,232.6,4.12
2026-04-26 02:45:00,196.8,231.2,231.2,3.99
2026-04-26 03:00:00,195.6,231.0,231.0,3.82
2026-04-26 03:15:00,196.9,232.1,232.1,3.64
2026-04-26 03:30:00,785.7,926.9,926.9,3.89
2026-04-26 03:45:00,206.4,235.6,235.6,4.1
2026-04-26 04:00:00,211.1,233.8,233.8,3.91
2026-04-26 04:15:00,211.7,234.8,234.8,3.63
2026-04-26 04:30:00,212.5,235.7,235.7,3.64
2026-04-26 04:45:00,841.7,939.9,939.9,3.82
2026-04-26 05:00:00,218.2,240.8,240.8,4.26
2026-04-26 05:15:00,216.1,237.8,237.8,3.94
2026-04-26 05:30:00,214.0,237.2,237.2,3.87
2026-04-26 05:45:00,212.8,235.6,235.6,3.94
2026-04-26 06:00:00,861.1,951.3,951.3,4.0
2026-04-26 06:15:00,215.2,236.2,236.2,4.07
2026-04-26 06:30:00,215.9,229.6,229.6,4.18
2026-04-26 06:45:00,217.0,226.9,226.9,4.37
2026-04-26 07:00:00,216.8,219.9,219.9,4.56
2026-04-26 07:15:00,864.9,912.6,912.6,4.3
2026-04-26 07:30:00,212.3,209.6,212.3,4.13
2026-04-26 07:45:00,211.4,202.2,211.4,4.25
2026-04-26 08:00:00,211.2,198.0,211.2,4.79
2026-04-26 08:15:00,210.8,193.6,210.8,5.05
2026-04-26 08:30:00,845.8,803.3,845.8,4.56
2026-04-26 08:45:00,210.1,190.8,210.1,4.82
2026-04-26 09:00:00,210.2,193.8,210.2,4.93
2026-04-26 09:15:00,207.5,194.3,207.5,4.71
2026-04-26 09:30:00,204.9,194.5,204.9,3.99
2026-04-26 09:45:00,832.7,773.3,832.7,4.61
2026-04-26 10:00:00,202.5,196.6,202.5,3.81
2026-04-26 10:15:00,202.0,205.1,205.1,2.35
2026-04-26 10:30:00,200.7,214.4,214.4,2.06
2026-04-26 10:45:00,200.3,221.9,221.9,1.99
2026-04-26 11:00:00,805.5,838.0,838.0,2.55
2026-04-26 11:15:00,195.0,229.8,229.8,1.99
2026-04-26 11:30:00,194.3,237.3,237.3,1.52
2026-04-26 11:45:00,195.4,245.2,245.2,0.95
2026-04-26 12:00:00,196.4,251.8,251.8,0.69
2026-04-26 12:15:00,781.1,964.0,964.0,1.29
2026-04-26 12:30:00,193.9,258.7,258.7,0.18
2026-04-26 12:45:00,193.6,264.2,264.2,0.01
2026-04-26 13:00:00,196.2,264.2,264.2,0.0
2026-04-26 13:15:00,196.3,255.9,255.9,0.0
2026-04-26 13:30:00,780.0,1043.0,1043.0,0.05
2026-04-26 13:45:00,194.9,245.4,245.4,-0.01
2026-04-26 14:00:00,194.6,232.0,232.0,-0.02
2026-04-26 14:15:00,195.8,243.7,243.7,-0.01
2026-04-26 14:30:00,196.9,229.6,229.6,-0.02
2026-04-26 14:45:00,782.1,950.6,950.6,-0.02
2026-04-26 15:00:00,198.2,230.4,230.4,-0.66
2026-04-26 15:15:00,197.2,231.1,231.1,-0.69
2026-04-26 15:30:00,196.2,233.3,233.3,-0.7
2026-04-26 15:45:00,194.4,234.0,234.0,-0.69
2026-04-26 16:00:00,786.1,928.8,928.8,-0.69
2026-04-26 16:15:00,195.3,235.4,235.4,-0.73
2026-04-26 16:30:00,194.7,235.3,235.3,-0.7
2026-04-26 16:45:00,194.2,234.8,234.8,-0.61
2026-04-26 17:00:00,194.1,234.2,234.2,-0.61
2026-04-26 17:15:00,778.2,939.7,939.7,-0.66
2026-04-26 17:30:00,194.5,234.3,234.3,-0.6
2026-04-26 17:45:00,195.2,232.3,232.3,-0.6
2026-04-26 18:00:00,195.1,230.4,230.4,-0.84
2026-04-26 18:15:00,196.1,227.5,227.5,-0.64
2026-04-26 18:30:00,780.8,924.6,924.6,-0.67
2026-04-26 18:45:00,200.1,224.8,224.8,-0.79
2026-04-26 19:00:00,201.4,222.0,222.0,-0.61
2026-04-26 19:15:00,201.5,218.3,218.3,-0.71
2026-04-26 19:30:00,201.4,215.5,215.5,-0.64
2026-04-26 19:45:00,804.4,880.5,880.5,-0.69
2026-04-26 20:00:00,198.5,244.4,244.4,0.0
2026-04-26 20:15:00,199.8,253.2,253.2,0.01
2026-04-26 20:30:00,197.3,246.1,246.1,0.21
2026-04-26 20:45:00,198.2,239.1,239.1,1.04
2026-04-26 21:00:00,793.7,982.8,982.8,0.32
2026-04-26 21:15:00,203.8,231.3,231.3,1.36
2026-04-26 21:30:00,205.2,221.2,221.2,2.13
2026-04-26 21:45:00,208.9,211.2,211.2,3.21
2026-04-26 22:00:00,212.5,221.3,221.3,11.89
2026-04-26 22:15:00,830.4,885.0,885.0,4.65
2026-04-26 22:30:00,213.1,215.6,215.6,12.84
2026-04-26 22:45:00,215.4,206.2,215.4,15.4
2026-04-26 23:00:00,216.5,195.6,216.5,16.87
2026-04-26 23:15:00,216.8,185.4,216.8,18.27
2026-04-26 23:30:00,861.8,802.8,861.8,15.85
2026-04-26 23:45:00,215.5,179.9,215.5,17.18
