date,Buy_Volume,Sell_Volume,Volume,Price
2024-10-25 00:00:00,117.7,62.5,117.7,97.95
2024-10-25 00:30:00,142.9,154.2,154.2,69.69
2024-10-25 01:00:00,10.0,250.4,250.4,83.28
2024-10-25 01:30:00,5.0,215.7,215.7,67.34
2024-10-25 02:00:00,67.7,81.1,81.1,76.5
2024-10-25 02:30:00,66.8,90.3,90.3,29.41
2024-10-25 03:00:00,31.4,98.6,98.6,55.24
2024-10-25 03:30:00,5.0,58.3,58.3,40.8
2024-10-25 04:00:00,10.6,70.3,70.3,46.78
2024-10-25 04:30:00,5.0,48.2,48.2,49.84
2024-10-25 05:00:00,113.9,61.5,113.9,43.03
2024-10-25 05:30:00,80.5,14.3,80.5,63.21
2024-10-25 06:00:00,487.2,71.0,487.2,44.81
2024-10-25 06:30:00,424.0,7.5,424.0,79.19
2024-10-25 07:00:00,147.7,43.3,147.7,70.35
2024-10-25 07:30:00,118.0,7.6,118.0,103.33
2024-10-25 08:00:00,136.8,16.4,136.8,109.29
2024-10-25 08:30:00,194.4,5.5,194.4,109.84
2024-10-25 09:00:00,107.0,45.0,107.0,88.77
2024-10-25 09:30:00,172.3,52.9,172.3,88.63
2024-10-25 10:00:00,95.7,93.0,95.7,83.17
2024-10-25 10:30:00,73.0,67.0,73.0,69.43
2024-10-25 11:00:00,30.0,27.4,30.0,62.13
2024-10-25 11:30:00,39.2,43.2,43.2,67.37
2024-10-25 12:00:00,29.0,29.0,29.0,56.63
2024-10-25 12:30:00,31.0,30.4,31.0,76.11
2024-10-25 13:00:00,80.9,80.9,80.9,66.74
2024-10-25 13:30:00,59.9,59.9,59.9,58.86
2024-10-25 14:00:00,132.7,131.4,132.7,69.44
2024-10-25 14:30:00,91.1,98.0,98.0,56.28
2024-10-25 15:00:00,235.2,235.6,235.6,61.42
2024-10-25 15:30:00,195.8,200.8,200.8,66.06
2024-10-25 16:00:00,56.6,39.9,56.6,98.76
2024-10-25 16:30:00,58.0,58.0,58.0,99.78
2024-10-25 17:00:00,108.0,61.2,108.0,86.58
2024-10-25 17:30:00,149.4,103.3,149.4,103.74
2024-10-25 18:00:00,80.0,80.3,80.3,117.72
2024-10-25 18:30:00,149.2,24.0,149.2,177.13
2024-10-25 19:00:00,93.0,93.5,93.5,135.68
2024-10-25 19:30:00,74.4,39.3,74.4,125.76
2024-10-25 20:00:00,164.4,182.8,182.8,120.6
2024-10-25 20:30:00,68.0,76.4,76.4,89.4
2024-10-25 21:00:00,152.9,374.5,374.5,102.07
2024-10-25 21:30:00,86.7,304.9,304.9,96.81
2024-10-25 22:00:00,108.2,105.0,108.2,84.67
2024-10-25 22:30:00,185.6,27.0,185.6,102.59
2024-10-25 23:00:00,35.6,35.6,35.6,93.41
2024-10-25 23:30:00,26.5,26.2,26.5,89.7
2024-10-26 00:00:00,183.4,22.8,183.4,120.37
2024-10-26 00:30:00,112.3,84.5,112.3,33.17
2024-10-26 01:00:00,82.4,283.0,283.0,74.0
2024-10-26 01:30:00,28.7,229.3,229.3,66.18
2024-10-26 02:00:00,116.7,190.2,190.2,71.83
2024-10-26 02:30:00,67.9,141.8,141.8,41.79
2024-10-26 03:00:00,78.9,255.9,255.9,60.07
2024-10-26 03:30:00,50.8,232.0,232.0,44.28
2024-10-26 04:00:00,51.4,47.7,51.4,52.92
2024-10-26 04:30:00,61.6,61.6,61.6,32.5
2024-10-26 05:00:00,69.5,166.4,166.4,45.16
2024-10-26 05:30:00,73.4,170.9,170.9,48.43
2024-10-26 06:00:00,44.9,204.0,204.0,43.72
2024-10-26 06:30:00,55.2,214.6,214.6,65.43
2024-10-26 07:00:00,95.7,25.0,95.7,33.38
2024-10-26 07:30:00,114.4,34.3,114.4,79.62
2024-10-26 08:00:00,71.2,21.9,71.2,69.32
