date,Buy_Volume,Sell_Volume,Volume,Price
2024-09-16 00:00:00,57.5,59.2,59.2,9.56
2024-09-16 01:00:00,32.5,30.0,32.5,56.44
2024-09-16 02:00:00,95.9,95.9,95.9,52.05
2024-09-16 03:00:00,70.5,69.5,70.5,15.95
2024-09-16 04:00:00,48.8,47.8,48.8,79.5
2024-09-16 05:00:00,40.0,40.0,40.0,-39.5
2024-09-16 06:00:00,3.0,34.9,34.9,0.0
2024-09-16 07:00:00,9.4,38.3,38.3,0.0
2024-09-16 08:00:00,14.2,26.1,26.1,-2.0
2024-09-16 09:00:00,39.8,51.7,51.7,2.0
2024-09-16 10:00:00,18.9,64.5,64.5,-44.38
2024-09-16 11:00:00,43.1,88.3,88.3,44.52
2024-09-16 12:00:00,12.0,12.0,12.0,-14.5
2024-09-16 13:00:00,44.0,44.0,44.0,84.56
2024-09-16 14:00:00,35.1,35.1,35.1,49.91
2024-09-16 15:00:00,28.2,28.2,28.2,95.59
2024-09-16 16:00:00,148.5,7.0,148.5,104.08
2024-09-16 17:00:00,148.6,7.0,148.6,72.72
2024-09-16 18:00:00,57.5,57.5,57.5,93.15
2024-09-16 19:00:00,21.5,21.5,21.5,19.25
2024-09-16 20:00:00,19.4,15.7,19.4,23.39
2024-09-16 21:00:00,47.4,4.0,47.4,84.61
2024-09-16 22:00:00,15.3,42.3,42.3,60.19
2024-09-16 23:00:00,8.9,36.0,36.0,19.93
2024-09-17 00:00:00,160.7,70.2,160.7,6.15
2024-09-17 01:00:00,92.3,2.9,92.3,-10.55
2024-09-17 02:00:00,16.0,16.5,16.5,-5.0
2024-09-17 03:00:00,25.5,25.5,25.5,-15.07
2024-09-17 04:00:00,24.0,24.0,24.0,-27.3
2024-09-17 05:00:00,22.5,23.0,23.0,-20.72
2024-09-17 06:00:00,32.5,32.5,32.5,17.81
2024-09-17 07:00:00,24.0,24.0,24.0,-45.81
2024-09-17 08:00:00,6.8,6.7,6.8,-0.04
2024-09-17 09:00:00,3.0,3.1,3.1,-13.96
2024-09-17 10:00:00,42.2,40.6,42.2,10.47
2024-09-17 11:00:00,55.1,56.7,56.7,16.9
2024-09-17 12:00:00,271.4,303.4,303.4,18.99
2024-09-17 13:00:00,322.8,351.8,351.8,49.57
2024-09-17 14:00:00,324.9,367.5,367.5,41.62
2024-09-17 15:00:00,245.8,288.4,288.4,85.47
2024-09-17 16:00:00,86.0,230.4,230.4,99.29
2024-09-17 17:00:00,57.7,202.2,202.2,74.71
2024-09-17 18:00:00,188.5,213.5,213.5,79.15
2024-09-17 19:00:00,129.8,154.8,154.8,42.59
2024-09-17 20:00:00,12.8,142.6,142.6,65.34
2024-09-17 21:00:00,38.3,166.8,166.8,82.66
2024-09-17 22:00:00,12.4,213.6,213.6,80.81
2024-09-17 23:00:00,16.4,218.0,218.0,49.19
2024-09-18 00:00:00,30.4,32.4,32.4,28.44
2024-09-18 01:00:00,38.9,38.9,38.9,-0.84
2024-09-18 02:00:00,15.6,75.3,75.3,35.52
2024-09-18 03:00:00,6.6,81.8,81.8,-2.4
2024-09-18 04:00:00,0.0,50.7,50.7,7.53
2024-09-18 05:00:00,5.0,51.6,51.6,4.47
2024-09-18 06:00:00,8.7,71.7,71.7,1.44
2024-09-18 07:00:00,5.7,99.1,99.1,14.56
2024-09-18 08:00:00,15.9,31.8,31.8,20.6
2024-09-18 09:00:00,40.0,69.3,69.3,25.0
2024-09-18 10:00:00,130.6,34.6,130.6,54.08
