date,low,high,last,weighted_avg,id_full,id1,id3,buy_volume,sell_volume,total_volume
2024-10-31 00:00:00,90.0,121.68,105.0,104.5,104.5,102.58,102.58,1402.8,909.8,1156.3
2024-10-31 01:00:00,87.01,115.71,100.0,98.1,98.1,96.22,96.22,979.1,887.4,933.3
2024-10-31 02:00:00,86.5,110.67,87.0,92.35,92.35,87.57,90.93,1302.1,1228.8,1265.5
2024-10-31 03:00:00,64.38,97.01,97.01,90.81,90.81,91.32,88.69,1221.2,1209.3,1215.3
2024-10-31 04:00:00,78.26,104.59,97.51,89.43,89.43,85.56,85.56,1460.2,1504.7,1482.5
2024-10-31 05:00:00,83.91,108.95,90.45,96.56,96.56,88.34,88.34,1659.3,951.6,1305.5
2024-10-31 06:00:00,36.68,299.0,175.0,111.2,111.2,168.38,107.7,1582.2,1302.9,1442.6
2024-10-31 07:00:00,104.47,299.99,105.0,169.17,169.17,149.48,185.87,1946.1,1657.4,1801.8
2024-10-31 08:00:00,99.5,250.0,118.0,163.36,163.36,112.67,173.16,2775.8,2797.6,2786.7
2024-10-31 09:00:00,105.36,200.0,180.0,133.29,133.29,163.45,128.34,2756.5,3323.9,3040.2
2024-10-31 10:00:00,94.0,140.0,118.99,120.22,120.22,113.12,122.06,3223.7,3712.9,3468.3
2024-10-31 11:00:00,60.0,142.99,120.0,118.33,118.33,112.02,119.38,3373.0,4149.5,3761.3
2024-10-31 12:00:00,58.0,130.0,119.99,106.18,106.18,106.85,103.36,3388.6,3400.2,3394.4
2024-10-31 13:00:00,80.0,358.0,230.0,107.46,107.46,154.8,112.45,3707.7,3586.7,3647.2
2024-10-31 14:00:00,73.23,187.0,125.0,110.11,110.11,144.09,113.69,3080.3,2942.9,3011.6
2024-10-31 15:00:00,71.19,145.0,86.8,114.85,114.85,94.52,117.0,2506.4,2476.2,2491.3
2024-10-31 16:00:00,41.89,180.11,80.03,142.27,142.27,88.47,133.3,2062.4,2451.8,2257.1
2024-10-31 17:00:00,110.02,165.11,124.99,136.45,136.45,125.5,124.65,2632.6,2964.0,2798.3
2024-10-31 18:00:00,100.0,206.0,100.0,160.96,160.96,121.18,139.1,2804.9,2908.0,2856.5
2024-10-31 19:00:00,60.02,158.0,97.04,119.82,119.82,110.18,94.8,2232.2,2397.2,2314.7
