date,Buy_Volume,Sell_Volume,Volume,Price
2026-06-08 00:00:00,319.9,95.9,319.9,119.99
2026-06-08 00:15:00,319.9,96.4,319.9,123.25
2026-06-08 00:30:00,320.0,96.7,320.0,119.44
2026-06-08 00:45:00,320.1,97.0,320.1,117.24
2026-06-08 01:00:00,1279.9,386.0,1279.9,119.98
2026-06-08 01:15:00,320.3,94.1,320.3,120.09
2026-06-08 01:30:00,320.3,94.5,320.3,118.16
2026-06-08 01:45:00,320.3,95.2,320.3,116.81
2026-06-08 02:00:00,320.3,95.9,320.3,116.06
2026-06-08 02:15:00,1281.3,379.8,1281.3,117.78
2026-06-08 02:30:00,328.7,96.4,328.7,117.6
2026-06-08 02:45:00,328.7,96.9,328.7,117.29
2026-06-08 03:00:00,328.6,97.4,328.6,117.68
2026-06-08 03:15:00,328.5,97.6,328.5,117.45
2026-06-08 03:30:00,1314.4,388.2,1314.4,117.51
2026-06-08 03:45:00,359.2,96.3,359.2,113.33
2026-06-08 04:00:00,359.0,95.9,359.0,113.43
2026-06-08 04:15:00,358.9,95.5,358.9,113.83
2026-06-08 04:30:00,358.8,95.1,358.8,113.83
2026-06-08 04:45:00,1435.9,382.8,1435.9,113.61
2026-06-08 05:00:00,358.8,94.5,358.8,113.66
2026-06-08 05:15:00,358.6,94.6,358.6,114.47
2026-06-08 05:30:00,358.3,94.4,358.3,114.94
2026-06-08 05:45:00,358.0,94.1,358.0,116.43
2026-06-08 06:00:00,1433.7,377.6,1433.7,114.88
2026-06-08 06:15:00,364.3,96.4,364.3,113.96
2026-06-08 06:30:00,364.0,96.5,364.0,117.92
2026-06-08 06:45:00,363.7,96.6,363.7,118.44
2026-06-08 07:00:00,363.4,96.7,363.4,119.45
2026-06-08 07:15:00,1455.4,386.1,1455.4,117.44
2026-06-08 07:30:00,323.0,95.4,323.0,117.27
2026-06-08 07:45:00,322.6,94.9,322.6,118.47
2026-06-08 08:00:00,322.2,94.3,322.2,119.66
2026-06-08 08:15:00,321.8,93.5,321.8,122.43
2026-06-08 08:30:00,1289.6,378.0,1289.6,119.46
2026-06-08 08:45:00,324.0,92.9,324.0,152.77
2026-06-08 09:00:00,323.5,90.9,323.5,139.03
2026-06-08 09:15:00,323.2,89.4,323.2,135.21
2026-06-08 09:30:00,322.9,87.1,322.9,122.7
2026-06-08 09:45:00,1293.6,360.3,1293.6,137.43
2026-06-08 10:00:00,294.2,86.5,294.2,140.8
2026-06-08 10:15:00,293.9,83.3,293.9,125.14
2026-06-08 10:30:00,293.5,80.1,293.5,114.79
2026-06-08 10:45:00,293.0,79.5,293.0,105.53
2026-06-08 11:00:00,1174.7,329.3,1174.7,121.57
2026-06-08 11:15:00,272.5,75.1,272.5,112.59
2026-06-08 11:30:00,272.2,72.0,272.2,103.48
2026-06-08 11:45:00,271.8,69.8,271.8,99.93
2026-06-08 12:00:00,271.2,66.6,271.2,91.56
2026-06-08 12:15:00,1087.7,283.5,1087.7,101.89
2026-06-08 12:30:00,274.0,65.2,274.0,97.43
2026-06-08 12:45:00,273.5,60.3,273.5,95.07
2026-06-08 13:00:00,273.0,57.6,273.0,85.11
2026-06-08 13:15:00,272.3,55.5,272.3,82.53
2026-06-08 13:30:00,1092.6,238.5,1092.6,90.04
2026-06-08 13:45:00,303.8,57.1,303.8,84.21
2026-06-08 14:00:00,302.9,55.4,302.9,83.29
2026-06-08 14:15:00,301.9,55.0,301.9,73.71
2026-06-08 14:30:00,300.9,54.9,300.9,68.39
2026-06-08 14:45:00,1209.4,222.3,1209.4,77.4
2026-06-08 15:00:00,265.6,66.4,265.6,82.08
2026-06-08 15:15:00,265.6,67.8,265.6,80.23
2026-06-08 15:30:00,265.6,69.1,265.6,75.72
2026-06-08 15:45:00,265.6,69.9,265.6,74.64
2026-06-08 16:00:00,1062.2,273.2,1062.2,78.17
2026-06-08 16:15:00,266.1,103.9,266.1,73.95
2026-06-08 16:30:00,266.1,104.5,266.1,74.9
2026-06-08 16:45:00,266.1,106.2,266.1,74.77
2026-06-08 17:00:00,266.1,106.8,266.1,74.22
2026-06-08 17:15:00,1064.2,421.4,1064.2,74.46
2026-06-08 17:30:00,265.6,109.8,265.6,69.26
2026-06-08 17:45:00,265.6,112.8,265.6,70.61
2026-06-08 18:00:00,265.6,115.5,265.6,80.29
2026-06-08 18:15:00,265.6,117.8,265.6,84.89
2026-06-08 18:30:00,1062.2,455.9,1062.2,76.26
2026-06-08 18:45:00,267.3,108.3,267.3,77.77
2026-06-08 19:00:00,267.3,110.6,267.3,84.5
2026-06-08 19:15:00,267.3,110.8,267.3,88.49
2026-06-08 19:30:00,267.3,110.7,267.3,102.65
2026-06-08 19:45:00,1069.2,440.3,1069.2,88.35
2026-06-08 20:00:00,267.3,97.7,267.3,84.92
2026-06-08 20:15:00,267.3,98.1,267.3,95.28
2026-06-08 20:30:00,267.3,97.7,267.3,103.47
2026-06-08 20:45:00,267.3,96.1,267.3,113.25
2026-06-08 21:00:00,1069.2,389.6,1069.2,99.23
2026-06-08 21:15:00,265.6,124.2,265.6,106.06
2026-06-08 21:30:00,265.6,121.4,265.6,114.4
2026-06-08 21:45:00,265.6,118.6,265.6,122.72
2026-06-08 22:00:00,265.6,116.4,265.6,124.56
2026-06-08 22:15:00,1062.2,480.5,1062.2,116.94
2026-06-08 22:30:00,309.8,63.2,309.8,123.89
2026-06-08 22:45:00,310.2,59.4,310.2,132.95
2026-06-08 23:00:00,310.6,55.6,310.6,148.06
2026-06-08 23:15:00,311.1,52.0,311.1,172.72
2026-06-08 23:30:00,1241.7,230.2,1241.7,144.41
2026-06-08 23:45:00,303.5,57.7,303.5,162.81
