date,Buy_Volume,Sell_Volume,Volume,Price
2024-12-16 00:00:00,1145.2,619.6,1517.3,1.29
2024-12-16 01:00:00,1159.2,630.1,1539.3,0.72
2024-12-16 02:00:00,1159.2,634.6,1542.8,0.56
2024-12-16 03:00:00,1160.2,634.7,1543.5,0.56
2024-12-16 04:00:00,1160.2,631.5,1540.2,0.57
2024-12-16 05:00:00,993.2,825.6,1417.6,2.18
2024-12-16 06:00:00,1175.2,868.2,1562.7,15.59
2024-12-16 07:00:00,1034.2,637.0,1420.7,27.28
2024-12-16 08:00:00,1024.2,615.8,1390.2,29.07
2024-12-16 09:00:00,1013.2,596.7,1360.3,29.09
2024-12-16 10:00:00,1016.2,592.1,1358.7,29.21
2024-12-16 11:00:00,1035.2,586.7,1372.3,28.78
2024-12-16 12:00:00,1025.2,577.1,1353.1,28.35
2024-12-16 13:00:00,1033.2,556.6,1340.4,28.03
2024-12-16 14:00:00,1026.2,538.6,1315.1,28.56
2024-12-16 15:00:00,1027.2,533.6,1311.0,29.98
2024-12-16 16:00:00,1045.2,506.6,1302.1,30.68
2024-12-16 17:00:00,1149.4,487.8,1396.0,29.65
2024-12-16 18:00:00,1032.3,473.2,1274.8,29.2
2024-12-16 19:00:00,1044.2,459.2,1280.5,27.5
2024-12-16 20:00:00,1044.2,358.5,1274.5,26.77
2024-12-16 21:00:00,1034.2,458.6,1270.6,24.53
2024-12-16 22:00:00,1027.2,454.0,1256.7,23.25
2024-12-16 23:00:00,1037.2,448.5,1264.8,16.08
2024-12-17 00:00:00,1016.2,389.8,1228.9,18.65
2024-12-17 01:00:00,1013.2,455.6,1218.6,19.39
2024-12-17 02:00:00,1014.2,460.7,1219.1,18.82
2024-12-17 03:00:00,1023.2,493.4,1212.2,20.51
2024-12-17 04:00:00,1022.2,369.8,1207.1,21.38
2024-12-17 05:00:00,991.2,320.9,1179.4,25.08
2024-12-17 06:00:00,1021.2,217.7,1176.8,29.56
2024-12-17 07:00:00,1336.2,356.7,1483.7,34.08
2024-12-17 08:00:00,1196.4,347.8,1346.1,36.94
2024-12-17 09:00:00,1169.8,331.8,1320.9,37.14
2024-12-17 10:00:00,1331.2,312.0,1481.1,37.09
2024-12-17 11:00:00,1332.2,308.5,1491.7,36.63
2024-12-17 12:00:00,1330.2,314.4,1500.4,36.81
2024-12-17 13:00:00,1499.9,247.7,1683.3,36.98
2024-12-17 14:00:00,1537.5,252.6,1726.7,36.92
2024-12-17 15:00:00,1599.4,277.7,1812.5,37.29
2024-12-17 16:00:00,1286.5,289.3,1509.8,41.91
2024-12-17 17:00:00,1506.1,294.3,1741.0,40.51
2024-12-17 18:00:00,1423.2,316.1,1655.6,39.78
2024-12-17 19:00:00,1423.2,610.5,1674.3,39.46
2024-12-17 20:00:00,1337.9,332.1,1593.7,37.88
2024-12-17 21:00:00,1510.1,302.7,1766.1,37.77
2024-12-17 22:00:00,1468.5,310.8,1724.3,37.16
2024-12-17 23:00:00,1449.8,314.0,1710.6,35.02
2024-12-18 00:00:00,1190.3,314.5,1462.0,30.65
2024-12-18 01:00:00,1037.6,326.1,1318.3,27.76
2024-12-18 02:00:00,1025.2,422.3,1309.8,25.12
2024-12-18 03:00:00,1030.2,507.2,1309.1,22.72
2024-12-18 04:00:00,1030.2,462.3,1332.0,21.57
2024-12-18 05:00:00,1007.2,462.8,1312.0,22.76
