date,Buy_Volume,Sell_Volume,Volume,Price
2026-08-18 00:00:00,16.5,188.4,188.4,170.23
2026-08-18 00:15:00,19.1,160.2,160.2,152.0
2026-08-18 00:30:00,18.7,165.8,165.8,149.9
2026-08-18 00:45:00,17.4,166.5,166.5,156.87
2026-08-18 01:00:00,71.6,681.0,681.0,157.25
2026-08-18 01:15:00,5.3,176.9,176.9,167.15
2026-08-18 01:30:00,6.6,181.5,181.5,161.93
2026-08-18 01:45:00,4.5,180.2,180.2,160.0
2026-08-18 02:00:00,4.5,173.8,173.8,150.07
2026-08-18 02:15:00,20.8,712.4,712.4,159.79
2026-08-18 02:30:00,4.6,243.9,243.9,152.55
2026-08-18 02:45:00,4.5,238.9,238.9,150.08
2026-08-18 03:00:00,4.5,246.4,246.4,149.66
2026-08-18 03:15:00,4.5,246.9,246.9,150.93
2026-08-18 03:30:00,18.1,976.0,976.0,150.81
2026-08-18 03:45:00,4.5,180.1,180.1,148.34
2026-08-18 04:00:00,4.5,183.8,183.8,146.98
2026-08-18 04:15:00,4.5,183.7,183.7,148.18
2026-08-18 04:30:00,4.9,185.4,185.4,150.07
2026-08-18 04:45:00,18.4,732.9,732.9,148.39
2026-08-18 05:00:00,14.1,162.1,162.1,148.4
2026-08-18 05:15:00,12.5,161.9,161.9,147.05
2026-08-18 05:30:00,12.5,169.3,169.3,149.3
2026-08-18 05:45:00,12.5,171.4,171.4,152.13
2026-08-18 06:00:00,51.6,664.6,664.6,149.22
2026-08-18 06:15:00,15.5,149.2,149.2,147.12
2026-08-18 06:30:00,15.6,156.8,156.8,155.99
2026-08-18 06:45:00,15.9,163.6,163.6,159.44
2026-08-18 07:00:00,38.8,126.9,126.9,115.02
2026-08-18 07:15:00,85.8,596.4,596.4,144.39
2026-08-18 07:30:00,71.5,122.5,122.5,143.0
2026-08-18 07:45:00,73.8,115.3,115.3,140.59
2026-08-18 08:00:00,67.6,119.7,119.7,145.72
2026-08-18 08:15:00,78.8,107.0,107.0,131.8
2026-08-18 08:30:00,291.8,464.5,464.5,140.28
2026-08-18 08:45:00,58.8,118.8,118.8,123.45
2026-08-18 09:00:00,58.6,122.2,122.2,123.45
2026-08-18 09:15:00,41.5,118.8,118.8,143.8
2026-08-18 09:30:00,34.9,129.1,129.1,143.02
2026-08-18 09:45:00,193.7,488.8,488.8,133.43
2026-08-18 10:00:00,37.0,174.4,174.4,109.07
2026-08-18 10:15:00,21.3,186.4,186.4,135.38
2026-08-18 10:30:00,14.8,246.7,246.7,180.0
2026-08-18 10:45:00,15.5,243.3,243.3,163.34
2026-08-18 11:00:00,88.6,850.8,850.8,146.95
2026-08-18 11:15:00,18.8,281.5,281.5,174.56
2026-08-18 11:30:00,19.0,296.9,296.9,167.97
2026-08-18 11:45:00,23.3,273.6,273.6,131.29
2026-08-18 12:00:00,26.4,258.9,258.9,114.87
2026-08-18 12:15:00,87.5,1110.9,1110.9,147.17
2026-08-18 12:30:00,15.5,273.3,273.3,154.87
2026-08-18 12:45:00,15.8,278.7,278.7,153.01
2026-08-18 13:00:00,15.3,276.5,276.5,143.17
2026-08-18 13:15:00,16.2,272.2,272.2,140.93
2026-08-18 13:30:00,62.7,1100.7,1100.7,148.0
2026-08-18 13:45:00,16.3,382.1,382.1,143.55
2026-08-18 14:00:00,15.0,388.6,388.6,140.56
2026-08-18 14:15:00,15.0,384.7,384.7,139.02
2026-08-18 14:30:00,15.0,389.6,389.6,140.87
2026-08-18 14:45:00,61.3,1544.9,1544.9,141.0
2026-08-18 15:00:00,12.6,422.3,422.3,133.45
2026-08-18 15:15:00,12.5,428.2,428.2,136.19
2026-08-18 15:30:00,15.3,420.3,420.3,136.41
2026-08-18 15:45:00,13.7,418.6,418.6,130.6
2026-08-18 16:00:00,54.0,1689.4,1689.4,134.16
2026-08-18 16:15:00,14.6,439.6,439.6,128.09
2026-08-18 16:30:00,16.5,442.1,442.1,128.09
2026-08-18 16:45:00,14.9,441.2,441.2,125.77
2026-08-18 17:00:00,15.5,433.1,433.1,118.34
2026-08-18 17:15:00,61.6,1756.0,1756.0,125.07
2026-08-18 17:30:00,2.8,409.1,409.1,121.59
2026-08-18 17:45:00,2.8,409.7,409.7,122.76
2026-08-18 18:00:00,2.5,415.0,415.0,124.37
2026-08-18 18:15:00,2.8,412.1,412.1,117.88
2026-08-18 18:30:00,10.8,1645.8,1645.8,121.65
2026-08-18 18:45:00,20.5,346.5,346.5,127.28
2026-08-18 19:00:00,22.0,351.7,351.7,128.09
2026-08-18 19:15:00,22.0,351.7,351.7,124.38
2026-08-18 19:30:00,23.3,321.3,321.3,125.38
2026-08-18 19:45:00,87.8,1371.2,1371.2,126.28
2026-08-18 20:00:00,20.5,284.4,284.4,128.09
2026-08-18 20:15:00,19.6,282.0,282.0,134.86
2026-08-18 20:30:00,20.3,287.6,287.6,139.72
2026-08-18 20:45:00,17.0,282.2,282.2,149.3
2026-08-18 21:00:00,77.4,1136.1,1136.1,137.99
2026-08-18 21:15:00,18.4,216.4,216.4,138.47
