date,Buy_Volume,Sell_Volume,Volume,Price
2026-06-20 00:00:00,35.3,10.4,35.3,123.86
2026-06-20 00:15:00,25.7,7.9,25.7,122.25
2026-06-20 00:30:00,22.6,5.6,22.6,115.11
2026-06-20 00:45:00,27.6,6.5,27.6,111.5
2026-06-20 01:00:00,29.6,5.2,29.6,113.54
2026-06-20 01:15:00,18.9,4.2,18.9,111.78
2026-06-20 01:30:00,24.8,4.1,24.8,110.05
2026-06-20 01:45:00,28.4,6.3,28.4,110.0
2026-06-20 02:00:00,32.2,5.1,32.2,111.16
2026-06-20 02:15:00,28.8,5.5,28.8,111.45
2026-06-20 02:30:00,31.3,4.3,31.3,107.59
2026-06-20 02:45:00,30.1,3.8,30.1,104.83
2026-06-20 03:00:00,21.0,7.7,21.0,112.64
2026-06-20 03:15:00,17.5,4.9,17.5,110.92
2026-06-20 03:30:00,20.9,6.5,20.9,110.85
2026-06-20 03:45:00,18.6,4.5,18.6,109.59
2026-06-20 04:00:00,7.8,3.9,7.8,109.44
2026-06-20 04:15:00,10.8,4.0,10.8,110.99
2026-06-20 04:30:00,13.7,6.3,13.7,111.4
2026-06-20 04:45:00,10.3,9.4,10.3,112.17
2026-06-20 05:00:00,12.9,6.2,12.9,112.24
2026-06-20 05:15:00,13.8,4.7,13.8,112.65
2026-06-20 05:30:00,11.9,6.7,11.9,110.29
2026-06-20 05:45:00,14.9,8.7,14.9,108.81
2026-06-20 06:00:00,37.5,0.3,37.5,119.22
2026-06-20 06:15:00,28.5,1.3,28.5,119.21
2026-06-20 06:30:00,24.0,8.8,24.0,118.77
2026-06-20 06:45:00,25.0,8.3,25.0,118.76
2026-06-20 07:00:00,40.5,8.3,40.5,119.21
2026-06-20 07:15:00,32.8,8.5,32.8,118.77
2026-06-20 07:30:00,28.8,5.3,28.8,118.77
2026-06-20 07:45:00,27.2,17.5,27.2,118.76
2026-06-20 08:00:00,24.2,4.0,24.2,119.21
2026-06-20 08:15:00,10.0,2.5,10.0,115.87
2026-06-20 08:30:00,10.6,4.5,10.6,105.01
2026-06-20 08:45:00,8.9,21.3,21.3,80.65
2026-06-20 09:00:00,22.8,19.9,22.8,99.99
2026-06-20 09:15:00,12.3,17.5,17.5,70.61
2026-06-20 09:30:00,18.1,25.0,25.0,41.18
2026-06-20 09:45:00,14.8,30.9,30.9,23.07
2026-06-20 10:00:00,12.9,18.0,18.0,30.66
