date,low,high,last,weighted_avg,id_full,buy_volume,sell_volume,total_volume
2024-09-29 00:00:00,4.02,21.00,15.00,12.73,12.73,159.8,102.7,131.3
2024-09-29 01:00:00,4.13,14.21,13.00,9.62,9.62,164.1,93.1,128.6
2024-09-29 02:00:00,4.78,14.63,8.00,9.62,9.62,193.3,122.5,157.9
2024-09-29 03:00:00,4.94,13.42,7.06,9.24,9.24,107.6,73.0,90.3
2024-09-29 04:00:00,-2.52,13.25,-2.51,8.81,8.81,135.1,100.1,117.6
2024-09-29 05:00:00,0.22,13.65,4.22,8.90,8.90,84.6,84.6,84.6
2024-09-29 06:00:00,1.69,13.85,4.05,9.26,9.26,112.1,112.1,112.1
2024-09-29 07:00:00,-2.14,18.95,2.25,12.04,12.04,113.0,113.0,113.0
2024-09-29 08:00:00,-0.81,16.70,-0.81,15.27,15.27,99.9,99.9,99.9
2024-09-29 09:00:00,-2.25,25.00,-2.01,19.01,19.01,99.4,99.4,99.4
2024-09-29 10:00:00,1.00,5.80,1.55,2.82,2.82,22.5,22.5,22.5
2024-09-29 11:00:00,-4.57,0.00,-2.00,-2.05,-2.05,43.8,18.5,31.2
2024-09-29 12:00:00,-7.41,1.24,-1.35,-3.49,-3.49,22.8,22.8,22.8
2024-09-29 13:00:00,-14.00,-0.40,-14.00,-6.21,-6.21,56.7,20.0,38.4
2024-09-29 14:00:00,-8.30,5.02,2.00,-1.54,-1.54,51.0,31.0,41.0
2024-09-29 15:00:00,-3.00,10.31,4.00,4.50,4.50,51.3,32.7,42.0
2024-09-29 16:00:00,6.10,17.55,6.10,12.82,12.82,155.4,154.4,154.9
2024-09-29 17:00:00,12.38,17.55,12.38,15.14,10.92,3.4,4.7,4.1
2024-09-29 18:00:00,10.99,16.80,10.99,14.19,13.39,1.5,2.9,2.2
2024-09-29 19:00:00,8.34,12.00,8.37,10.31,12.86,2.8,4.9,3.9
2024-09-29 20:00:00,5.41,17.39,5.41,10.18,10.97,2.4,2.4,2.4
2024-09-29 21:00:00,-3.34,8.00,-2.78,4.00,11.34,4.8,4.8,4.8
2024-09-29 22:00:00,0.56,5.87,0.76,2.35,10.10,2.4,2.4,2.4
2024-09-29 23:00:00,-2.67,4.77,1.72,0.41,10.81,2.4,2.4,2.4
2024-09-30 00:00:00,-1.26,9.53,-1.26,4.10,14.94,2.4,2.4,2.4
2024-09-30 01:00:00,-4.96,4.10,-4.25,-0.09,11.36,4.8,4.8,4.8
2024-09-30 02:00:00,-6.37,7.73,-1.51,-2.49,-2.49,31.0,31.4,31.2
2024-09-30 03:00:00,-8.00,0.52,-8.00,-3.27,-3.27,22.1,22.1,22.1
