date,Buy_Volume,Sell_Volume,Volume,Price
2026-06-19 00:00:00,7.4,607.4,607.4,89.3
2026-06-19 00:15:00,7.4,582.7,582.7,86.5
2026-06-19 00:30:00,7.4,575.3,575.3,84.42
2026-06-19 00:45:00,7.4,562.4,562.4,82.17
2026-06-19 01:00:00,29.7,2327.7,2327.7,85.6
2026-06-19 01:15:00,7.4,532.1,532.1,84.21
2026-06-19 01:30:00,7.4,520.0,520.0,84.63
2026-06-19 01:45:00,7.4,519.5,519.5,82.35
2026-06-19 02:00:00,7.4,530.5,530.5,75.83
2026-06-19 02:15:00,29.7,2102.0,2102.0,81.76
2026-06-19 02:30:00,7.4,513.4,513.4,81.84
2026-06-19 02:45:00,7.4,511.9,511.9,77.03
2026-06-19 03:00:00,7.4,515.4,515.4,74.92
2026-06-19 03:15:00,7.4,512.6,512.6,76.41
2026-06-19 03:30:00,29.7,2053.3,2053.3,77.55
2026-06-19 03:45:00,10.7,508.6,508.6,73.41
2026-06-19 04:00:00,10.7,501.6,501.6,73.69
2026-06-19 04:15:00,10.7,501.3,501.3,76.74
2026-06-19 04:30:00,10.7,499.5,499.5,77.02
2026-06-19 04:45:00,42.6,2011.0,2011.0,75.22
2026-06-19 05:00:00,14.2,497.4,497.4,71.17
2026-06-19 05:15:00,14.2,496.4,496.4,72.39
2026-06-19 05:30:00,14.2,490.0,490.0,75.91
2026-06-19 05:45:00,14.2,486.6,486.6,78.34
2026-06-19 06:00:00,56.7,1970.3,1970.3,74.45
2026-06-19 06:15:00,7.4,467.5,467.5,70.51
2026-06-19 06:30:00,7.4,459.3,459.3,74.42
2026-06-19 06:45:00,7.4,452.4,452.4,78.79
2026-06-19 07:00:00,7.4,446.8,446.8,81.78
2026-06-19 07:15:00,29.7,1826.0,1826.0,76.38
2026-06-19 07:30:00,24.6,416.6,416.6,79.55
2026-06-19 07:45:00,24.6,407.4,407.4,83.74
2026-06-19 08:00:00,24.6,400.3,400.3,87.47
2026-06-19 08:15:00,24.6,391.5,391.5,90.69
2026-06-19 08:30:00,98.3,1615.7,1615.7,85.36
2026-06-19 08:45:00,22.1,398.9,398.9,84.81
2026-06-19 09:00:00,22.1,395.8,395.8,88.48
2026-06-19 09:15:00,22.1,390.4,390.4,82.87
2026-06-19 09:30:00,22.1,386.0,386.0,76.26
2026-06-19 09:45:00,88.5,1571.0,1571.0,83.11
2026-06-19 10:00:00,21.6,393.7,393.7,84.93
2026-06-19 10:15:00,21.6,385.8,385.8,75.5
2026-06-19 10:30:00,21.6,393.1,393.1,73.58
2026-06-19 10:45:00,21.6,388.2,388.2,64.83
2026-06-19 11:00:00,86.3,1560.8,1560.8,74.71
2026-06-19 11:15:00,9.8,392.2,392.2,80.8
2026-06-19 11:30:00,9.8,401.6,401.6,71.41
